text,label
"EMPLOYMENT AGREEMENT - This agreement is between Company ABC and John Doe. The employee agrees to work as a software engineer.",1
"IN WITNESS WHEREOF, the parties have executed this agreement as of the date first written above.",1
"This privacy policy describes how we collect, use, and share your personal data. We are committed to protecting your privacy.",1
"NON-DISCLOSURE AGREEMENT: The Receiving Party shall not disclose Confidential Information to any third party without the prior written consent of the Disclosing Party.",1
"This is a contract for a project where Party A agrees to deliver services to Party B for a fee of $10,000.",1
"TERMS OF SERVICE - By using our service, you agree to these terms and conditions. The agreement is governed by the laws of California.",1
"LICENSE AGREEMENT - The Licensor grants the Licensee a non-exclusive, non-transferable license to use the software.",1
"This document serves as a formal complaint filed in the Superior Court of California. The plaintiff seeks damages for breach of contract.",1
"The lease agreement between Landlord LLC and Tenant Corporation is effective as of January 1, 2024.",1
"A guide to baking bread at home. You will need flour, water, yeast, and salt. Start by mixing the ingredients in a large bowl.",0
"Once upon a time in a faraway kingdom, there lived a princess who was held captive by a dragon.",0
"The latest news from the tech world includes the launch of a new smartphone and a major software update.",0
"A recipe for chocolate chip cookies: Mix butter and sugar, add eggs and vanilla, then stir in flour, baking soda, and chocolate chips.",0
"This is a marketing brochure for our new product. It highlights the features and benefits for customers.",0
"The user manual for the new coffee maker provides step-by-step instructions on how to brew coffee.",0
"Our company newsletter for Q4 2023. It covers recent achievements and upcoming events for employees.",0
"An academic research paper on the effects of climate change. The study was conducted over a period of five years.",0
"A short poem about nature: The sun shines bright, the birds sing sweet, a beautiful day, a joyful treat.",0